ALB                    CARICA BATTERIA BC 12V
BC                     BATTERIA ALLARME 12V 7AH
AMC1-AMC2              ALIMENTATORE MCP2015X-SMD
AB1-AB2-AB3-AB4        CARICA BATTERIE 24-48-72-96
F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A TR2
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5 - F6                FUSIBILE MOTORE PORTE TRIFASE-48VCC
F7                     FUSIBILE 4A OPERATORE PORTE ELETTRONICO
F8                     FUSIBILE PATTINO RETRATTILE
F9                     FUSIBILE 4A PROTEZIONE CIRCUITO FRENO
F10                    FUSIBILE PRESA BATTERIE 24V
F11                    FUSIBILE PRESA BATTERIE 48V
F96                    FUSIBILE PRESA BATTERIE 96V
F16 - F17              FUSIBILE 4A VENTOLA MOTORE
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE\TRIFASE ALIMENTAZIONE QUADRO
TR2                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
MCP2015X-SMD           SCHEDA MADRE
PER16B-SMD             SCHEDA ESPANSIONE CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
L1000A                 VVVF YASKAWA L1000A
MIAE                   SCHEDA EMERGENZA
TM - TM1               TELERUTTORI MARCIA
TE1 - TE2              TELERUTTORI EMERGENZA
RF                     RELÈ FRENO
RP                     RELÈ PATTINO
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
FC1 - FC2              RELE' FINE CORSA CHIUSURA PER EN81-20
RX                     RELE' ACCESSO IN FOSSA
CEX                    SCHEDA CONTROLLO ACCESSO IN FOSSA
R1 - R2                RELE' COMANDO BOBINA CEV A3
BOX A3                 CONTROLLO BOBINA CEV A3 ANTIDERIVA
RM - RM1               RELE' MANUTENZIONE
RL1                    RELÈ RALLENTAMENTO OPERATORE 48VCC LATO1
RL2                    RELÈ RALLENTAMENTO OPERATORE 48VCC LATO2
RVF                    RELÈ VENTOLA MOTORE
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD3                    RADDRIZZATORE FRENO
RD4                    RADDRIZZATORE PATTINO
RD5 - RD6              RADDRIZZATORI OPERATORI PORTE 48VCC
1 - 2                  INTERRUTTORI BYPASS EN81-20
IS - ID                INDUTTORE N.O. CONTEGGIO SALITA-DISCESA E FERMATA
FCS - FCD              BISTABILE FINECORSA SALITA - DISCESA
IAX                    INDUTTORE N.O. PER FERMATA PIANO ESTREMO CORTO
